# Flow – PLAZA ORB / wearing skullboy jackets
# This what happens when you put either of their jackets on, ya cool cad!
# ==================================================
digraph G {
	  0 [label="START"];
	  1 [label="input"];
	  2 [label="Composure: You are very dangerous, my friend. Dangerous and cool. In fact, no one dares to say *a single thing* about the jacket. But believe me, they are all *very impressed*."];
	  3 [label="Composure: Oh no, believe me -- it will be *everyone else* who's uncomfortable with it. You're safe. No one dares say a word -- unless they're, like, from your station and coming to *judge* you. But what are the chances of that happening?"];
	  4 [label="Composure: You've finally made it haven't you? People point fingers at you and whisper to each other when you pass by, wondering to themselves:"];
	  5 [label="Composure: \"Where did that man get such a cool jacket? Did he receive it upon graduating the École normale supérieure de Bad-Assery? Is he *dangerous?*\""];
	  6 [label="You: Damn right I'm dangerous."];
	  7 [label="You: Yeah -- a danger to *myself*. What am I doing? This is insane."];
	  8 [label="Untitled hub (05)"];
	  0 -> 1
	  1 -> 5
	  4 -> 6
	  5 -> 9
	  6 -> 2
	  7 -> 4
	  8 -> 8
	  8 -> 7
}

